t=2025-03-14T18:24:38-0700 lvl=info msg="open config file" path=/home/noah/Sidework/repos/protondemand/ngrok.yml err=nil
t=2025-03-14T18:25:48-0700 lvl=info msg="join connections" obj=join id=8f9988969437 l=[::1]:3001 r=[2600:8801:ca00:3c50:4902:c67c:df06:864a]:61592
t=2025-03-14T18:25:48-0700 lvl=info msg="join connections" obj=join id=def95a82de9b l=[::1]:3001 r=[2600:8801:ca00:3c50:4902:c67c:df06:864a]:61592
t=2025-03-14T18:25:48-0700 lvl=info msg="join connections" obj=join id=bbe233c37687 l=[::1]:3001 r=[2600:8801:ca00:3c50:4902:c67c:df06:864a]:61592
t=2025-03-14T18:25:48-0700 lvl=info msg="join connections" obj=join id=b2e555eae033 l=[::1]:3001 r=[2600:8801:ca00:3c50:4902:c67c:df06:864a]:61592
t=2025-03-14T18:25:48-0700 lvl=info msg="join connections" obj=join id=fd6b6b04243f l=[::1]:3001 r=[2600:8801:ca00:3c50:4902:c67c:df06:864a]:61592
t=2025-03-14T18:25:48-0700 lvl=info msg="join connections" obj=join id=cec74f7c47b3 l=[::1]:3001 r=[2600:8801:ca00:3c50:4902:c67c:df06:864a]:61592
t=2025-03-14T18:25:48-0700 lvl=info msg="join connections" obj=join id=500e0ba1c247 l=[::1]:3001 r=[2600:8801:ca00:3c50:4902:c67c:df06:864a]:61592
t=2025-03-14T18:25:48-0700 lvl=info msg="join connections" obj=join id=32eb2e851c6c l=[::1]:3001 r=[2600:8801:ca00:3c50:4902:c67c:df06:864a]:61592
t=2025-03-14T18:25:48-0700 lvl=info msg="join connections" obj=join id=b97b67ee351f l=[::1]:3001 r=[2600:8801:ca00:3c50:4902:c67c:df06:864a]:61592
t=2025-03-14T18:25:48-0700 lvl=info msg="join connections" obj=join id=712f747c9d75 l=[::1]:3001 r=[2600:8801:ca00:3c50:4902:c67c:df06:864a]:61592
t=2025-03-14T18:25:48-0700 lvl=info msg="join connections" obj=join id=6610958fa9d0 l=[::1]:3001 r=[2600:8801:ca00:3c50:4902:c67c:df06:864a]:61592
t=2025-03-14T18:25:48-0700 lvl=info msg="join connections" obj=join id=7f1fd8140591 l=[::1]:3001 r=[2600:8801:ca00:3c50:4902:c67c:df06:864a]:61592
t=2025-03-14T18:25:48-0700 lvl=info msg="join connections" obj=join id=ba888472de37 l=[::1]:3001 r=[2600:8801:ca00:3c50:4902:c67c:df06:864a]:61592
t=2025-03-14T18:25:49-0700 lvl=info msg="join connections" obj=join id=d46c8e737346 l=[::1]:3001 r=[2600:8801:ca00:3c50:4902:c67c:df06:864a]:61592
t=2025-03-14T18:25:49-0700 lvl=info msg="join connections" obj=join id=6cb0ed078e22 l=[::1]:3001 r=[2600:8801:ca00:3c50:4902:c67c:df06:864a]:61592
t=2025-03-14T18:25:49-0700 lvl=info msg="join connections" obj=join id=07ada213ae8f l=[::1]:3001 r=[2600:8801:ca00:3c50:4902:c67c:df06:864a]:61592
t=2025-03-14T18:25:49-0700 lvl=info msg="join connections" obj=join id=8a0764c8e91c l=[::1]:3001 r=[2600:8801:ca00:3c50:4902:c67c:df06:864a]:61592
t=2025-03-14T18:25:49-0700 lvl=info msg="join connections" obj=join id=6f15dbd68fed l=[::1]:3001 r=[2600:8801:ca00:3c50:4902:c67c:df06:864a]:61625
t=2025-03-14T18:25:49-0700 lvl=info msg="join connections" obj=join id=00f16a141f96 l=[::1]:3001 r=[2600:8801:ca00:3c50:4902:c67c:df06:864a]:61625
t=2025-03-14T18:25:49-0700 lvl=info msg="join connections" obj=join id=9c9b6e229daa l=[::1]:3001 r=[2600:8801:ca00:3c50:4902:c67c:df06:864a]:61625
t=2025-03-14T18:25:49-0700 lvl=info msg="join connections" obj=join id=bcb9bc61ef0f l=[::1]:3001 r=[2600:8801:ca00:3c50:4902:c67c:df06:864a]:61626
t=2025-03-14T18:25:49-0700 lvl=info msg="join connections" obj=join id=1b386ff551b5 l=[::1]:3001 r=[2600:8801:ca00:3c50:4902:c67c:df06:864a]:61626
t=2025-03-14T18:25:49-0700 lvl=info msg="join connections" obj=join id=bb7d05ffe595 l=[::1]:3001 r=[2600:8801:ca00:3c50:4902:c67c:df06:864a]:61626
t=2025-03-14T18:25:49-0700 lvl=info msg="join connections" obj=join id=443a86589758 l=[::1]:3001 r=[2600:8801:ca00:3c50:4902:c67c:df06:864a]:61626
